dt_reference;id_city_origin;id_city_destination;freight_cost
26/01/2024;5107040,0;4118204,0;351,0
02/02/2024;5107040,0;4118204,0;346,0
16/02/2024;5107040,0;4118204,0;384,0
23/02/2024;5107040,0;4118204,0;389,0
01/03/2024;5107040,0;4118204,0;342,0
08/03/2024;5107040,0;4118204,0;346,67
15/03/2024;5107040,0;4118204,0;337,5
22/03/2024;5107040,0;4118204,0;333,0
28/03/2024;5107040,0;4118204,0;337,0
05/04/2024;5107040,0;4118204,0;330,0
26/04/2024;5107040,0;4118204,0;333,25
03/05/2024;5107040,0;4118204,0;343,33
17/05/2024;5107040,0;4118204,0;376,67
07/06/2024;5107040,0;4118204,0;373,3
14/06/2024;5107040,0;4118204,0;376,7
21/06/2024;5107040,0;4118204,0;396,7
07/01/2022;5107875,0;4118204,0;380,0
21/01/2022;5107875,0;4118204,0;395,0
28/01/2022;5107875,0;4118204,0;440,0
11/02/2022;5107875,0;4118204,0;430,0
25/02/2022;5107875,0;4118204,0;420,0
11/03/2022;5107875,0;4118204,0;400,0
25/03/2022;5107875,0;4118204,0;480,0
01/04/2022;5107875,0;4118204,0;510,0
15/04/2022;5107875,0;4118204,0;484,0
22/04/2022;5107875,0;4118204,0;469,0
29/04/2022;5107875,0;4118204,0;474,0
27/05/2022;5107875,0;4118204,0;490,0
10/06/2022;5107875,0;4118204,0;540,0
08/07/2022;5107875,0;4118204,0;560,0
05/08/2022;5107875,0;4118204,0;515,0
26/08/2022;5107875,0;4118204,0;455,0
09/09/2022;5107875,0;4118204,0;465,0
23/09/2022;5107875,0;4118204,0;487,0
30/09/2022;5107875,0;4118204,0;402,0
14/10/2022;5107875,0;4118204,0;410,0
21/10/2022;5107875,0;4118204,0;390,0
16/12/2022;5107875,0;4118204,0;460,0
03/02/2023;5107875,0;4118204,0;450,0
10/02/2023;5107875,0;4118204,0;550,0
24/02/2023;5107875,0;4118204,0;500,0
10/03/2023;5107875,0;4118204,0;470,0
23/06/2023;5107875,0;4118204,0;520,0
07/07/2023;5107875,0;4118204,0;526,0
21/07/2023;5107875,0;4118204,0;535,0
04/08/2023;5107875,0;4118204,0;507,5
11/08/2023;5107875,0;4118204,0;505,0
25/08/2023;5107875,0;4118204,0;497,5
15/09/2023;5107875,0;4118204,0;529,67
22/09/2023;5107875,0;4118204,0;530,0
29/09/2023;5107875,0;4118204,0;531,67
06/10/2023;5107875,0;4118204,0;545,0
13/10/2023;5107875,0;4118204,0;537,5
27/10/2023;5107875,0;4118204,0;483,0
17/11/2023;5107875,0;4118204,0;525,0
24/11/2023;5107875,0;4118204,0;517,5
19/01/2024;5107875,0;4118204,0;475,0
26/01/2024;5107875,0;4118204,0;445,0
16/02/2024;5107875,0;4118204,0;435,0
01/03/2024;5107875,0;4118204,0;417,5
15/03/2024;5107875,0;4118204,0;422,5
22/03/2024;5107875,0;4118204,0;403,0
19/04/2024;5107875,0;4118204,0;425,0
26/04/2024;5107875,0;4118204,0;437,5
03/05/2024;5107875,0;4118204,0;442,5
05/07/2024;5107875,0;4118204,0;482,5
07/01/2022;5105259,0;4118204,0;365,0
21/01/2022;5105259,0;4118204,0;385,0
28/01/2022;5105259,0;4118204,0;435,0
04/02/2022;5105259,0;4118204,0;387,0
11/02/2022;5105259,0;4118204,0;372,0
18/02/2022;5105259,0;4118204,0;377,0
25/02/2022;5105259,0;4118204,0;395,0
11/03/2022;5105259,0;4118204,0;415,0
18/03/2022;5105259,0;4118204,0;425,0
25/03/2022;5105259,0;4118204,0;485,0
01/04/2022;5105259,0;4118204,0;465,0
15/04/2022;5105259,0;4118204,0;490,0
22/04/2022;5105259,0;4118204,0;475,0
20/05/2022;5105259,0;4118204,0;575,0
27/05/2022;5105259,0;4118204,0;495,0
10/06/2022;5105259,0;4118204,0;535,0
17/06/2022;5105259,0;4118204,0;540,0
01/07/2022;5105259,0;4118204,0;550,0
22/07/2022;5105259,0;4118204,0;525,0
29/07/2022;5105259,0;4118204,0;520,0
05/08/2022;5105259,0;4118204,0;505,0
19/08/2022;5105259,0;4118204,0;455,0
26/08/2022;5105259,0;4118204,0;450,0
02/09/2022;5105259,0;4118204,0;445,0
14/10/2022;5105259,0;4118204,0;405,0
21/10/2022;5105259,0;4118204,0;375,0
